sex,address,famsize,Pstatus,traveltime,studytime,schoolsup,activities,famrel,freetime,Test-1,Test-2,Final-Test
1,1,1,1,0,1,0,0,4,1,11,12,12
1,0,0,1,2,2,0,1,5,5,9,11,10
1,1,1,0,2,4,0,1,5,4,13,14,14
1,1,1,0,0,1,0,1,4,3,12,13,12
0,0,1,1,0,3,0,0,4,3,11,11,11
0,1,1,1,1,2,0,1,1,2,9,10,10
0,1,0,1,1,1,0,0,4,3,9,11,11
0,0,0,1,1,2,1,0,5,1,11,9,11
0,1,0,1,1,3,0,0,5,3,10,11,12
1,0,0,1,2,1,0,1,3,3,9,9,8
1,0,1,1,1,1,0,1,5,1,12,11,12
1,1,0,1,0,2,0,1,5,4,8,9,8
0,1,0,1,0,2,0,0,5,2,13,15,16
1,0,1,1,0,1,0,0,4,1,10,11,11
0,1,0,0,0,2,0,1,4,5,11,10,11
0,0,0,1,1,2,1,0,4,3,17,18,18
1,1,1,0,1,2,0,0,4,1,12,13,13
1,1,0,1,1,2,0,0,4,1,13,14,13
1,1,0,1,0,2,0,1,4,4,9,9,10
1,1,1,0,0,1,0,0,4,1,11,11,12
0,0,0,1,1,1,0,1,3,5,10,11,10
0,0,0,1,0,3,1,0,4,3,13,14,13
1,0,1,1,0,1,0,0,4,4,9,10,11
0,0,0,1,1,2,0,1,5,4,7,9,10
1,0,0,1,1,1,0,1,5,5,8,13,10
1,0,0,1,2,1,1,0,4,3,12,12,13
1,0,0,1,1,1,0,1,4,5,10,9,10
1,1,1,1,1,2,0,1,4,3,10,9,10
0,0,1,1,0,2,0,1,5,4,11,13,12
1,1,0,1,0,1,0,1,1,2,7,0,0
1,0,0,1,1,1,0,0,4,5,11,9,10
1,0,1,1,1,1,0,1,4,5,10,10,9
1,0,0,1,1,1,0,0,5,3,9,7,9
1,0,0,1,0,1,0,0,2,3,4,0,0
1,1,0,1,1,1,0,1,3,2,6,11,9
1,1,0,1,0,2,0,1,4,4,4,8,8
1,0,0,1,1,1,0,1,5,4,7,8,8
1,1,0,1,1,1,0,1,4,4,8,9,9
0,1,0,0,1,2,0,1,2,5,5,5,7
0,1,0,1,0,1,0,1,4,3,7,9,10
1,0,0,1,1,1,0,0,4,4,8,11,10
0,0,0,0,0,1,0,0,5,4,10,11,10
1,0,0,1,1,1,0,0,2,5,9,10,11
1,0,0,1,2,2,0,0,5,4,10,9,11
1,1,0,1,1,2,0,0,4,5,8,9,10
1,1,1,1,0,1,0,0,4,3,9,10,9
1,0,0,1,2,1,0,0,4,4,8,9,10
0,1,0,0,1,2,0,0,4,3,6,8,8
0,1,1,0,0,1,0,0,1,4,6,8,7
0,0,0,1,1,1,0,0,5,5,8,6,0
0,0,0,1,1,1,0,0,4,4,10,11,11
0,0,1,0,1,3,0,0,4,2,8,7,8
0,1,0,1,0,2,1,1,5,5,8,8,0
0,0,1,1,0,2,0,1,2,3,7,6,8
0,1,0,1,0,1,0,0,3,2,8,10,9
0,1,1,1,0,1,0,0,5,5,7,10,10
0,1,0,1,2,2,0,1,3,4,7,8,7
0,1,0,1,1,2,0,1,4,3,12,13,14
0,1,0,1,1,1,0,0,4,4,11,12,13
0,1,1,0,1,2,0,0,4,4,12,13,14
0,1,0,1,1,2,0,1,4,3,18,18,18
1,1,1,1,0,1,0,1,5,4,17,17,17
0,1,0,1,1,2,0,0,4,3,17,18,18
0,0,0,1,2,2,0,1,4,3,9,0,0
1,1,1,1,1,1,0,0,4,1,10,11,11
1,0,0,1,2,1,0,1,2,5,12,13,14
1,0,0,1,2,1,0,0,4,2,12,13,14
0,1,0,1,1,2,0,0,1,3,8,8,10
0,1,1,1,1,3,0,0,5,4,11,12,13
0,0,1,0,0,2,0,1,5,3,5,0,0
0,1,0,1,2,2,0,0,4,4,9,10,10
0,1,0,1,1,1,0,0,5,5,5,0,0
0,1,0,1,1,4,0,0,4,2,18,18,18
0,0,1,0,1,2,0,1,5,3,11,11,12
0,1,1,0,0,2,0,0,5,2,8,10,11
0,1,0,1,1,2,0,0,4,1,11,11,12
0,0,0,0,1,2,0,1,3,5,8,0,0
0,0,0,1,1,3,0,0,4,2,14,14,15
1,0,0,1,1,2,0,1,4,5,10,11,11
0,1,0,1,0,2,0,0,5,3,10,10,10
0,0,0,1,1,2,0,1,4,3,12,12,12
0,1,1,0,1,2,0,0,1,2,15,14,15
1,1,1,1,1,1,0,0,3,3,14,13,14
0,1,1,1,1,3,0,0,5,3,19,17,18
0,0,1,0,2,2,0,0,4,3,16,15,15
0,1,0,1,1,2,0,0,4,3,13,12,13
0,1,1,1,0,2,0,1,2,3,15,14,15
0,0,0,1,1,2,0,0,3,2,13,13,13
1,0,0,1,1,2,0,0,3,3,8,10,9
1,1,1,1,1,3,0,0,4,2,15,16,16
0,0,0,1,2,1,0,0,5,2,8,8,9
0,1,0,1,1,1,0,0,5,2,10,10,10
0,0,0,1,2,2,0,0,3,2,7,5,0
1,0,1,1,2,1,0,1,4,3,9,10,10
0,1,0,1,0,3,0,1,3,4,10,11,12
0,0,0,1,0,1,0,1,3,5,7,8,9
0,0,1,1,1,3,0,0,5,4,15,17,17
0,0,0,1,3,3,0,0,4,3,10,11,12
0,0,0,1,1,2,0,0,4,3,7,8,9
0,0,1,1,0,2,0,1,5,4,13,14,14
0,1,0,1,0,2,0,0,4,1,16,16,16
0,0,0,1,0,2,0,1,4,5,8,9,9
1,1,0,1,0,2,0,1,3,2,17,18,19
1,0,0,1,1,1,0,1,4,4,7,7,0
1,1,0,1,1,2,0,1,4,4,14,15,16
1,0,0,1,1,1,0,0,4,3,5,8,0
1,0,0,1,1,1,0,0,5,4,7,7,0
0,0,0,1,1,3,0,0,5,3,14,17,15
0,1,0,1,1,2,0,0,5,5,6,9,11
0,0,0,1,2,1,0,1,4,4,7,9,10
0,0,0,1,0,3,0,1,5,4,10,11,10
0,1,1,1,0,2,0,0,4,3,15,15,16
0,1,0,1,1,2,0,1,1,1,11,12,9
1,1,1,1,1,1,0,0,2,4,10,10,10
1,0,1,1,2,1,0,0,4,4,10,11,11
